Time,"Walk Time","Walk Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (meters)","Distance (km)","Speed (km/h)",Pace,"Pace (secs)","Average Speed (km/h)","Average Pace","Average Pace (secs)","Ascent (meters)","Descent (meters)",Calories
"2013-10-10 21:55:53",0:00:00,0.4,0:00:00,0.0,45.5691558,-122.6257505,35,0.00,3.92,0:15:19,919,0.00,0:00:00,0,0,0,0
"2013-10-10 21:55:59",0:00:06,6.5,0:00:00,0.0,45.5691664,-122.6257206,28,0.00,3.92,0:15:19,919,1.45,0:41:19,2479,0,1,0
"2013-10-10 21:56:15",0:00:23,22.9,0:00:00,0.0,45.5690187,-122.6256459,20,0.02,3.92,0:15:19,919,3.15,0:19:04,1144,0,11,1
"2013-10-10 21:56:32",0:00:40,39.9,0:00:00,0.0,45.5689999,-122.6256431,28,0.02,3.92,0:15:19,919,2.00,0:30:02,1802,0,11,2
"2013-10-10 21:56:47",0:00:55,54.7,0:00:00,0.0,45.5691578,-122.6256242,30,0.04,3.92,0:15:19,919,2.61,0:22:58,1378,0,11,2
"2013-10-10 21:56:57",0:01:05,64.9,0:00:00,0.0,45.5692826,-122.6255902,31,0.05,3.92,0:15:19,919,2.99,0:20:04,1204,0,11,3
"2013-10-10 21:57:17",0:01:25,84.9,0:00:00,0.0,45.5691690,-122.6254798,30,0.07,3.77,0:15:55,955,2.93,0:20:28,1228,0,11,4
"2013-10-10 21:57:30",0:01:38,97.9,0:00:00,0.0,45.5690272,-122.6254762,30,0.08,4.32,0:13:54,834,3.12,0:19:13,1153,0,11,5
"2013-10-10 21:57:41",0:01:49,108.9,0:00:00,0.0,45.5688779,-122.6254673,30,0.10,4.29,0:13:59,839,3.36,0:17:53,1073,0,11,6
"2013-10-10 21:57:55",0:02:03,122.9,0:00:00,0.0,45.5687320,-122.6254417,28,0.12,4.38,0:13:42,822,3.45,0:17:23,1043,0,11,6
"2013-10-10 21:58:07",0:02:15,134.9,0:00:00,0.0,45.5685864,-122.6254354,28,0.13,4.92,0:12:12,732,3.58,0:16:46,1006,0,11,7
"2013-10-10 21:58:16",0:02:24,143.9,0:00:00,0.0,45.5684417,-122.6254728,27,0.15,4.98,0:12:04,724,3.76,0:15:57,957,0,11,8
"2013-10-10 21:58:28",0:02:35,155.1,0:00:00,0.0,45.5683043,-122.6254927,23,0.17,5.35,0:11:13,673,3.85,0:15:36,936,0,11,8
"2013-10-10 21:58:40",0:02:48,167.9,0:00:00,0.0,45.5681822,-122.6255775,29,0.18,5.06,0:11:52,712,3.88,0:15:28,928,0,11,9
"2013-10-10 21:58:56",0:03:04,183.9,0:00:00,0.0,45.5680381,-122.6256312,31,0.20,4.96,0:12:05,725,3.86,0:15:31,931,0,11,10
"2013-10-10 21:59:12",0:03:20,199.9,0:00:00,0.0,45.5678919,-122.6256303,32,0.21,4.62,0:12:59,779,3.85,0:15:35,935,0,11,11
"2013-10-10 21:59:22",0:03:30,209.9,0:00:00,0.0,45.5677510,-122.6256464,32,0.23,4.63,0:12:58,778,3.93,0:15:15,915,0,11,12
"2013-10-10 21:59:34",0:03:42,221.9,0:00:00,0.0,45.5676116,-122.6255910,32,0.25,4.59,0:13:04,784,3.98,0:15:04,904,0,11,12
"2013-10-10 21:59:43",0:03:51,230.9,0:00:00,0.0,45.5674746,-122.6256000,33,0.26,4.73,0:12:40,760,4.07,0:14:46,886,2,11,13
"2013-10-10 21:59:55",0:04:03,242.9,0:00:00,0.0,45.5673247,-122.6256270,34,0.28,4.87,0:12:19,739,4.11,0:14:35,875,5,11,13
"2013-10-10 22:00:04",0:04:12,251.9,0:00:00,0.0,45.5671639,-122.6256523,35,0.30,5.44,0:11:02,662,4.22,0:14:13,853,8,11,14
"2013-10-10 22:00:14",0:04:22,261.9,0:00:00,0.0,45.5670005,-122.6256695,36,0.31,5.72,0:10:29,629,4.31,0:13:55,835,12,11,15
"2013-10-10 22:00:27",0:04:35,274.9,0:00:00,0.0,45.5668641,-122.6256678,37,0.33,5.53,0:10:51,651,4.31,0:13:56,836,13,11,16
"2013-10-10 22:00:37",0:04:45,284.9,0:00:00,0.0,45.5667208,-122.6256597,36,0.34,5.68,0:10:33,633,4.36,0:13:46,826,13,11,16
"2013-10-10 22:00:47",0:04:55,294.9,0:00:00,0.0,45.5665856,-122.6256547,34,0.36,5.65,0:10:37,637,4.39,0:13:40,820,13,11,17
"2013-10-10 22:00:56",0:05:04,303.9,0:00:00,0.0,45.5664480,-122.6256487,34,0.38,5.83,0:10:17,617,4.44,0:13:30,810,13,11,18
"2013-10-10 22:01:08",0:05:16,315.9,0:00:00,0.0,45.5663008,-122.6256265,35,0.39,5.51,0:10:53,653,4.46,0:13:27,807,13,11,19
"2013-10-10 22:01:18",0:05:26,325.9,0:00:00,0.0,45.5661549,-122.6256481,29,0.41,5.55,0:10:49,649,4.51,0:13:19,799,13,11,20
"2013-10-10 22:01:28",0:05:36,335.9,0:00:00,0.0,45.5660096,-122.6256670,30,0.42,5.65,0:10:37,637,4.54,0:13:12,792,13,11,21
"2013-10-10 22:01:40",0:05:48,347.9,0:00:00,0.0,45.5658636,-122.6256605,36,0.44,5.54,0:10:50,650,4.56,0:13:10,790,13,11,22
"2013-10-10 22:01:49",0:05:57,356.9,0:00:00,0.0,45.5657284,-122.6256707,36,0.46,5.61,0:10:42,642,4.59,0:13:04,784,13,11,24
"2013-10-10 22:02:01",0:06:09,368.9,0:00:00,0.0,45.5655841,-122.6256391,35,0.47,5.33,0:11:15,675,4.60,0:13:02,782,13,11,25
"2013-10-10 22:02:11",0:06:19,378.9,0:00:00,0.0,45.5654460,-122.6256343,36,0.49,5.36,0:11:12,672,4.63,0:12:58,778,13,11,26
"2013-10-10 22:02:21",0:06:29,388.9,0:00:00,0.0,45.5652841,-122.6256326,38,0.50,5.36,0:11:12,672,4.67,0:12:50,770,13,11,27
"2013-10-10 22:02:35",0:06:43,402.9,0:00:00,0.0,45.5651351,-122.6256228,37,0.52,5.30,0:11:19,679,4.66,0:12:53,773,13,11,29
"2013-10-10 22:02:45",0:06:53,412.9,0:00:00,0.0,45.5650044,-122.6256752,33,0.54,5.29,0:11:20,680,4.68,0:12:50,770,13,11,30
"2013-10-10 22:02:56",0:07:04,423.9,0:00:00,0.0,45.5648584,-122.6256699,35,0.55,5.34,0:11:14,674,4.69,0:12:47,767,13,11,30
"2013-10-10 22:03:06",0:07:14,433.9,0:00:00,0.0,45.5647191,-122.6256580,38,0.57,5.46,0:10:59,659,4.72,0:12:43,763,13,11,31
"2013-10-10 22:03:17",0:07:25,444.9,0:00:00,0.0,45.5645747,-122.6256395,39,0.58,5.39,0:11:08,668,4.73,0:12:41,761,13,11,32
"2013-10-10 22:03:30",0:07:38,457.9,0:00:00,0.0,45.5644332,-122.6256146,42,0.60,5.23,0:11:28,688,4.72,0:12:43,763,13,11,32
"2013-10-10 22:03:40",0:07:48,467.9,0:00:00,0.0,45.5642840,-122.6256285,44,0.62,5.27,0:11:23,683,4.75,0:12:38,758,13,11,33
"2013-10-10 22:03:49",0:07:57,476.9,0:00:00,0.0,45.5641484,-122.6256476,48,0.63,5.33,0:11:15,675,4.77,0:12:35,755,25,11,34
"2013-10-10 22:03:58",0:08:06,485.9,0:00:00,0.0,45.5640122,-122.6255914,44,0.65,5.65,0:10:37,637,4.80,0:12:30,750,25,11,35
"2013-10-10 22:04:09",0:08:17,496.9,0:00:00,0.0,45.5638922,-122.6254696,42,0.66,5.52,0:10:53,653,4.81,0:12:28,748,25,11,36
"2013-10-10 22:04:20",0:08:28,507.9,0:00:00,0.0,45.5638730,-122.6252689,41,0.68,5.63,0:10:39,639,4.82,0:12:27,747,25,13,37
"2013-10-10 22:04:31",0:08:39,518.9,0:00:00,0.0,45.5638525,-122.6250672,40,0.70,5.83,0:10:18,618,4.83,0:12:26,746,25,15,37
"2013-10-10 22:04:43",0:08:51,530.9,0:00:00,0.0,45.5638646,-122.6248581,39,0.71,5.59,0:10:44,644,4.83,0:12:25,745,25,18,38
"2013-10-10 22:04:53",0:09:01,540.9,0:00:00,0.0,45.5638602,-122.6246542,38,0.73,5.45,0:11:00,660,4.85,0:12:23,743,25,20,39
"2013-10-10 22:05:00",0:09:08,547.9,0:00:00,0.0,45.5638544,-122.6245404,38,0.74,5.36,0:11:11,671,4.84,0:12:23,743,25,21,39
"2013-10-10 22:05:08",0:09:16,555.9,0:00:00,0.0,45.5637042,-122.6245734,41,0.75,5.76,0:10:25,625,4.88,0:12:17,737,25,22,40
"2013-10-10 22:05:17",0:09:25,564.9,0:00:00,0.0,45.5635585,-122.6245859,42,0.77,5.84,0:10:16,616,4.91,0:12:13,733,27,22,40
"2013-10-10 22:05:29",0:09:37,576.9,0:00:00,0.0,45.5634238,-122.6245698,44,0.79,5.73,0:10:28,628,4.90,0:12:15,735,29,22,41
"2013-10-10 22:05:39",0:09:47,586.9,0:00:00,0.0,45.5632833,-122.6245747,45,0.80,5.78,0:10:23,623,4.91,0:12:13,733,31,22,42
"2013-10-10 22:05:48",0:09:56,595.9,0:00:00,0.0,45.5631431,-122.6245920,47,0.82,5.84,0:10:17,617,4.93,0:12:10,730,33,22,43
"2013-10-10 22:05:57",0:10:05,604.9,0:00:00,0.0,45.5630017,-122.6245863,48,0.83,5.91,0:10:09,609,4.95,0:12:07,727,35,22,44
"2013-10-10 22:06:07",0:10:15,614.9,0:00:00,0.0,45.5628654,-122.6246040,46,0.85,5.79,0:10:22,622,4.96,0:12:06,726,36,22,44
"2013-10-10 22:06:12",0:10:20,619.9,0:00:00,0.0,45.5628108,-122.6245504,45,0.85,5.74,0:10:27,627,4.96,0:12:05,725,36,22,45
"2013-10-10 22:06:20",0:10:28,627.9,0:00:00,0.0,45.5628470,-122.6243644,43,0.87,5.82,0:10:19,619,4.99,0:12:02,722,36,22,45
"2013-10-10 22:06:30",0:10:38,637.9,0:00:00,0.0,45.5628739,-122.6241663,45,0.89,5.88,0:10:12,612,5.00,0:12:00,720,36,22,46
"2013-10-10 22:06:41",0:10:49,648.9,0:00:00,0.0,45.5628895,-122.6239312,42,0.90,5.96,0:10:04,604,5.02,0:11:58,718,36,22,47
"2013-10-10 22:06:52",0:11:00,659.9,0:00:00,0.0,45.5628805,-122.6237387,41,0.92,5.90,0:10:10,610,5.01,0:11:58,718,36,24,48
"2013-10-10 22:07:02",0:11:10,669.9,0:00:00,0.0,45.5628567,-122.6235770,40,0.93,5.65,0:10:37,637,5.01,0:11:59,719,36,26,48
"2013-10-10 22:07:11",0:11:19,678.9,0:00:00,0.0,45.5628888,-122.6233871,39,0.95,5.79,0:10:22,622,5.02,0:11:57,717,36,28,49
